English,Korean,Category,Calories,Carbs,Protein,Fat,Fiber,GI,GL,HealthySwap,Why
Apple,,Everyday,95,25,0.5,0.3,4.4,36,9,Whole Apple,More fiber than juice
Banana,,Everyday,105,27,1.3,0.4,3.1,51,14,Berries,Lower carbohydrate load
Orange,,Everyday,62,15,1.2,0.2,3.1,43,6,Whole Orange,Whole fruit provides fiber
Mango,,Everyday,99,25,1.4,0.6,2.6,51,13,Berries,Lower sugar density
Papaya,,Everyday,59,15,0.9,0.2,2.5,60,9,Guava,Higher fiber
Guava,,Everyday,68,14,2.6,1.0,5.4,31,4,Whole Guava,Nutrient-dense and high fiber
Pomegranate,,Everyday,144,33,3.0,2.0,7.0,35,12,Berries,High fiber and antioxidants
Watermelon,,Everyday,46,12,0.9,0.2,0.6,76,9,Cucumber,Lower sugar option
Pineapple,,Everyday,82,22,0.9,0.2,2.3,59,13,Berries,Lower glycemic load
Grapes,,Everyday,104,27,1.1,0.2,1.4,59,16,Apple,More fiber per carbohydrate
Strawberries,,Everyday,49,12,1.0,0.5,3.0,40,5,Whole Berries,High fiber for calories
Blueberries,,Everyday,84,21,1.1,0.5,3.6,53,11,Strawberries,Moderate carbohydrate load
Pear,,Everyday,101,27,0.6,0.2,5.5,38,10,Whole Pear,High fiber
Peach,,Everyday,59,14,1.4,0.4,2.3,56,8,Plum,Lower portion carbohydrate
Plum,,Everyday,46,11,0.7,0.3,1.4,40,4,Whole Plum,Lower glycemic load
Kiwi,,Everyday,42,10,0.8,0.4,2.1,50,5,Whole Kiwi,Good fiber content
Avocado,,Everyday,240,13,3.0,22.0,10.0,15,2,Avocado with vegetables,Unsaturated fats and fiber
Dates,,Everyday,200,54,1.5,0.2,4.8,62,34,Apple,Lower concentrated sugar
Raisins,,Everyday,130,34,1.3,0.2,1.6,64,22,Fresh Grapes,Less concentrated sugar
Carrot,,Everyday,41,10,0.9,0.2,2.8,39,4,Steamed Carrot,Similar fiber with less added fat
Cucumber,,Everyday,16,4,0.7,0.1,0.5,15,1,Cucumber Salad,Very low carbohydrate
Tomato,,Everyday,22,4.8,1.1,0.2,1.5,30,1,Fresh Tomato,Minimal added fat
Spinach,,Everyday,23,3.6,2.9,0.4,2.2,15,1,Fresh Spinach,High micronutrient density
Broccoli,,Everyday,55,11,3.7,0.6,5.1,15,2,Steamed Broccoli,High fiber
Cauliflower,,Everyday,25,5,2.0,0.3,2.0,15,1,Roasted Cauliflower,Low carbohydrate
Cabbage,,Everyday,22,5,1.1,0.1,2.2,10,1,Fresh Cabbage,Low glycemic load
Capsicum,,Everyday,31,6,1.0,0.3,2.1,15,1,Fresh Capsicum,Low carbohydrate
Beetroot,,Everyday,58,13,2.2,0.2,3.8,64,8,Carrot,Portion control carbohydrate
Green Peas,,Everyday,134,25,8.6,0.4,9.0,48,12,Sprouted Peas,High fiber and protein
Sweet Corn,,Everyday,96,21,3.4,1.5,2.4,52,11,Roasted Corn,Moderate portion
Sweet Potato,,Everyday,103,24,2.3,0.1,3.8,63,15,Roasted Sweet Potato,Portion-controlled complex carbohydrate
Potato,,Everyday,161,37,4.3,0.2,3.8,78,29,Sweet Potato,More fiber and lower GI
Peas Pulao,,Everyday,300,48,7,8,4,60,29,Brown Rice Peas Pulao,Higher fiber
Vegetable Soup,,Everyday,120,18,5,3,4,40,7,Lentil Vegetable Soup,More protein and fiber
Tomato Soup,,Everyday,100,16,3,3,2,45,7,Fresh Tomato Soup,Less added sugar
Lentil Soup,,Everyday,230,34,16,4,12,32,11,Moong Dal,High fiber and protein
Chickpea Salad,,Everyday,260,38,12,7,10,28,11,Chickpea Vegetable Salad,More vegetables
Greek Yogurt,,Everyday,130,9,23,0,0,12,1,Plain Yogurt,High protein
Plain Yogurt,,Everyday,120,9,8,5,0,35,3,Greek Yogurt,More protein
Milk,,Everyday,122,12,8,5,0,31,4,Unsweetened Milk,No added sugar
Soy Milk,,Everyday,80,4,7,4,1,30,1,Unsweetened Soy Milk,Lower carbohydrate
Paneer,,Everyday,265,4,18,20,0,0,0,Low-fat Paneer,Less saturated fat
Tofu,,Everyday,144,3,17,9,2,15,0,Steamed Tofu,Less added oil
Egg,,Everyday,78,0.6,6.3,5.3,0,0,0,Boiled Egg,No added frying fat
Boiled Egg,,Everyday,78,0.6,6.3,5.3,0,0,0,Boiled Egg,Simple preparation
Chicken Breast,,Everyday,284,0,53,6,0,0,0,Grilled Chicken Breast,Lean protein
Grilled Chicken,,Everyday,260,0,48,7,0,0,0,Grilled Chicken Breast,Lean protein
Chicken Curry,,Everyday,330,8,28,20,2,25,2,Chicken Vegetable Curry,More vegetables
Fish Curry,,Everyday,300,7,28,18,2,25,2,Grilled Fish,Less added oil
Grilled Fish,,Everyday,220,0,30,10,0,0,0,Baked Fish,Lean protein
Salmon,,Everyday,280,0,30,18,0,0,0,Baked Salmon,Less added oil
Tuna,,Everyday,180,0,40,2,0,0,0,Water-packed Tuna,Lower fat
Sardines,,Everyday,208,0,25,11,0,0,0,Grilled Sardines,Simple preparation
Prawns,,Everyday,120,1,24,2,0,0,0,Grilled Prawns,Less added oil
Egg Omelette,,Everyday,190,2,13,14,0,0,0,Vegetable Omelette,Adds vegetables
Vegetable Omelette,,Everyday,210,8,14,13,2,20,2,Spinach Omelette,More vegetables
Scrambled Eggs,,Everyday,200,2,13,15,0,0,0,Boiled Eggs,Less added fat
Oats,,Everyday,150,27,5,3,4,55,15,Steel-cut Oats,More fiber
Oatmeal,,Everyday,160,28,6,3,4,55,15,Oatmeal with Berries,Adds fiber
Quinoa,,Everyday,222,39,8,4,5,53,21,Quinoa with Vegetables,More fiber-rich vegetables
Brown Bread,,Everyday,80,14,4,1,2,50,7,Whole Grain Bread,More fiber
Whole Wheat Bread,,Everyday,90,15,4,1.5,2.5,51,8,Sprouted Grain Bread,More fiber
