English,Korean,Category,Calories,Carbs,Protein,Fat,Fiber,GI,GL,HealthySwap,Why
Rajma Chawal,라즈마 차왈,Indian Home,520,72,16,10,11,60,26,Brown Rice Rajma,Higher fiber and lower glycemic impact
Dal Tadka,달 타드카,Indian Home,280,30,12,10,8,35,11,Moong Dal,Lower GI and easier digestion
Dal Makhani,달 마카니,Indian Home,340,28,13,16,9,40,11,Mixed Lentil Curry,More fiber and less saturated fat
Chole,촐레,Indian Home,310,36,14,9,10,35,13,Kala Chana Curry,Higher fiber
Chana Masala,차나 마살라,Indian Home,295,34,13,8,9,35,12,Sprouted Chana,More nutrients and fiber
Roti,로티,Indian Home,110,22,4,1,3,52,11,Multigrain Roti,Higher fiber
Chapati,차파티,Indian Home,120,23,4,2,4,50,12,Whole Wheat Chapati,More fiber
Brown Rice,현미밥,Indian Home,215,45,5,2,4,50,18,Quinoa,Lower GL and higher protein
White Rice,흰쌀밥,Indian Home,205,45,4,0,1,73,33,Brown Rice,Lower glycemic response
Khichdi,키치디,Indian Home,250,38,10,6,6,45,17,Millet Khichdi,Higher fiber
Poha,포하,Indian Home,270,45,6,8,3,65,29,Vegetable Poha,Added fiber
Upma,우프마,Indian Home,260,42,7,8,3,66,28,Oats Upma,Lower GI
Idli,이들리,Indian Home,150,28,5,1,2,70,20,Ragi Idli,Higher fiber
Dosa,도사,Indian Home,220,35,6,7,2,72,25,Ragi Dosa,Lower GI
Uttapam,우타팜,Indian Home,240,34,7,7,3,65,22,Vegetable Uttapam,Extra vegetables
Sambar,삼바르,Indian Home,160,18,8,5,5,35,6,Lentil Vegetable Soup,More vegetables
Rasam,라삼,Indian Home,80,10,3,2,2,30,3,Tomato Rasam,Very light meal
Palak Paneer,팔락 파니르,Indian Home,330,12,17,22,4,30,4,Tofu Spinach,Higher protein
Paneer Butter Masala,파니르 버터 마살라,Indian Home,420,16,16,32,2,35,6,Grilled Paneer,Less fat
Bhindi Masala,빈디 마살라,Indian Home,170,18,4,8,6,30,5,Steamed Okra,Less oil
Aloo Gobi,알루 고비,Indian Home,190,24,5,7,5,55,13,Cauliflower Stir Fry,Fewer potatoes
Baingan Bharta,바인간 바르타,Indian Home,160,14,4,8,6,35,5,Grilled Eggplant,Less oil
Vegetable Curry,야채 커리,Indian Home,180,20,5,7,6,40,8,Mixed Vegetable Stew,Higher fiber
Jeera Rice,지라 라이스,Indian Home,240,45,4,5,1,70,31,Brown Jeera Rice,Lower GI
Curd Rice,커드 라이스,Indian Home,260,38,8,8,2,60,23,Brown Rice Curd Bowl,More fiber
Samosa,사모사,Indian Street,260,30,5,14,3,75,23,Baked Samosa,Less oil and lower fat
Pani Puri,파니 푸리,Indian Street,180,32,3,4,2,72,23,Sprout Chaat,Higher protein and fiber
Bhel Puri,벨 푸리,Indian Street,170,28,4,4,5,60,17,Vegetable Bhel,More vegetables
Sev Puri,세브 푸리,Indian Street,220,30,5,9,3,68,20,Chana Chaat,More protein
Dahi Puri,다히 푸리,Indian Street,210,28,6,8,3,60,17,Greek Yogurt Chaat,Higher protein
Pav Bhaji,파브 바지,Indian Street,400,48,9,18,6,70,34,Whole Wheat Pav Bhaji,Higher fiber
Vada Pav,바다 파브,Indian Street,350,42,8,16,4,72,30,Grilled Veg Sandwich,Lower fat
Misal Pav,미살 파브,Indian Street,370,45,13,14,7,60,27,Misal without Pav,Lower carbs
Kachori,카초리,Indian Street,320,35,6,18,3,75,26,Baked Kachori,Less oil
Aloo Tikki,알루 티키,Indian Street,250,30,5,10,4,68,20,Grilled Sweet Potato Patty,Lower GI
Pakora,파코라,Indian Street,270,20,6,18,3,60,12,Air-Fried Pakora,Less oil
Dhokla,도클라,Indian Street,160,22,7,3,4,45,10,Vegetable Dhokla,Extra fiber
Khaman,카만,Indian Street,170,24,7,4,4,45,11,Dhokla,Lower fat
Jalebi,잘레비,Indian Street,300,55,2,10,0,85,47,Fruit Bowl,Lower sugar
Gulab Jamun,굴랍 자문,Indian Street,280,42,4,11,1,80,34,Fresh Fruit with Yogurt,Lower sugar
Rasgulla,라스굴라,Indian Street,180,32,5,4,0,76,24,Fresh Fruit,Lower sugar
Kulfi,쿨피,Indian Street,210,24,5,10,0,65,16,Greek Yogurt,More protein
Falooda,팔루다,Indian Street,340,55,6,10,1,70,39,Fruit Yogurt Smoothie,Less sugar
Chole Bhature,촐레 바투레,Indian Street,620,75,17,24,10,72,42,Chana Masala with Chapati,Lower fat and GL
Aloo Paratha,알루 파라타,Indian Street,340,42,8,14,5,68,29,Whole Wheat Chapati,Lower fat
Paneer Paratha,파니르 파라타,Indian Street,360,40,13,15,4,65,26,Stuffed Whole Wheat Chapati,Higher fiber
Momos,모모,Indian Street,280,36,10,9,3,58,21,Steamed Vegetable Momos,Less fat
Spring Roll,스프링롤,Indian Street,290,32,6,14,2,70,22,Fresh Rice Paper Roll,Lower fat
Noodles,누들,Indian Street,360,55,9,11,3,68,37,Whole Wheat Noodles,More fiber
Fried Rice,볶음밥,Indian Street,380,56,8,13,3,72,40,Brown Rice Fried Rice,Lower GI
Bibimbap,비빔밥,Korean Home,490,58,18,12,6,55,19,Brown Rice Bibimbap,Higher fiber and lower GI
